id_media,id_genre
292934,35
536437,9648
536437,878
536437,53
536437,28
536437,18
118,12
118,35
118,10751
118,14
271164,10402
271164,10749
271164,18
831395,14
831395,18
199656,35
1309962,35
89280,18
1219555,35
1219555,18
1219555,10749
1255795,53
1255795,10752
1255795,80
395817,80
395817,53
395817,37
425751,18
796499,28
796499,80
796499,35
264644,18
264644,53
355065,36
355065,18
355065,9648
244509,18
244509,53
143144,80
143144,18
143144,9648
44900,10751
44900,35
14043,10751
14043,12
14043,80
14043,9648
14043,35
8461,53
8461,27
1125311,27
1125311,9648
246403,35
246403,27
384682,35
1002155,36
1002155,10402
826680,18
826680,10751
826680,12
138843,27
138843,53
697407,35
434166,35
434166,18
434166,10752
10191,14
10191,12
10191,16
10191,10751
535544,18
535544,10749
535544,36
240072,10402
240072,18
240072,10751
112454,27
112454,53
9992,12
9992,14
9992,16
9992,10751
37414,80
37414,18
37414,53
37834,28
37834,35
362478,18
362478,80
15926,28
15926,35
575446,18
575446,53
64831,99
64831,10402
446107,99
446107,12
1323577,53
166085,35
173210,99
36965,27
49219,18
49219,36
12634,35
12634,80
889737,18
889737,80
889737,53
1018754,35
1018754,18
1018754,10749
301365,27
301365,53
706510,35
706510,10749
845769,99
844185,35
844185,36
844185,10770
14778,35
14778,18
125034,99
47275,18
47275,10751
446171,14
446171,35
53905,18
53905,10749
53905,35
1400514,53
1400514,18
453395,14
453395,28
453395,12
74943,35
74943,27
74943,878
205584,28
205584,12
205584,14
57119,35
204016,99
926670,28
926670,35
926670,10751
926670,878
40048,53
40048,9648
40048,18
10066,9648
10066,27
10066,53
159209,
139704,99
952200,18
952200,10749
13809,28
13809,80
13809,53
24202,18
24202,10749
58595,12
58595,14
58595,18
75446,99
547565,18
547565,27
547565,9648
547565,53
20407,35
20407,10749
920024,35
920024,18
756681,27
84340,35
8440,18
81729,99
81729,10402
276908,878
276908,35
276908,10749
312113,18
312113,28
312113,80
1010581,10749
1010581,18
4911,80
4911,53
129670,18
129670,12
9682,27
9682,878
9682,9648
9682,18
98932,18
9562,28
9562,12
9562,878
13401,35
13401,10749
26390,80
26390,18
26390,53
55244,99
84180,18
84180,10402
30106,99
1192174,18
1192174,53
257091,35
543084,99
12455,18
12455,80
551332,18
551332,36
22152,35
22152,18
18520,99
18520,35
64,18
64,10749
592983,16
592983,14
592983,10751
592983,12
592983,35
46738,18
46738,10752
46738,9648
12660,18
12660,36
12660,10749
12660,10752
1063756,35
1063756,18
1063756,10749
52053,18
594345,35
30072,18
30072,9648
30072,10749
1214454,99
25983,27
25983,9648
265228,18
265228,10752
801690,99
801690,10402
916427,99
916427,36
80083,99
799766,10402
799766,18
13150,80
13150,18
13150,9648
13150,53
14268,99
632322,10749
632322,18
55019,99
381275,99
29989,18
808087,35
808087,14
808087,18
796891,9648
796891,18
934761,35
934761,10749
470827,99
32316,35
1232494,18
1232494,10749
73723,16
73723,10751
38087,35
38087,80
38087,9648
38087,53
18408,35
18408,18
18408,9648
18408,53
682587,99
414906,80
414906,9648
414906,53
9480,14
9480,28
1319504,10749
1319504,35
590995,27
590995,18
590995,14
75674,28
75674,53
75674,10752
803923,53
803923,9648
8991,27
8991,28
8991,35
8991,878
259954,35
259954,10749
579137,99
16232,35
16232,18
548875,99
596124,18
1127625,18
91739,35
287804,
10782,28
10782,18
10782,9648
10782,53
10782,80
837335,18
837335,14
837335,35
541578,99
541578,36
1072790,10749
1072790,35
21073,99
711475,35
711475,18
174368,99
15667,27
15667,53
664035,18
1589,10749
1589,35
1589,10402
100057,35
100057,18
943930,27
943930,53
943930,9648
428836,18
428836,10749
428836,36
14653,18
14653,35
14653,10749
422178,99
422178,80
9763,18
13197,28
13197,80
13197,18
13197,9648
13197,53
58244,10749
58244,878
58244,18
58244,14
526811,10749
526811,18
123879,35
123879,18
13241,99
13241,18
13241,35
10190,18
14623,28
14623,12
14623,35
14623,10751
151960,16
151960,10751
151960,12
151960,35
811076,53
811076,27
51540,35
51540,80
73937,35
12808,10749
12808,35
12808,18
659986,27
659986,9648
659986,53
359724,18
359724,28
359724,36
14047,18
73532,18
73532,35
146203,27
146203,53
172469,35
7211,35
7211,10749
7211,18
9572,35
137960,35
472608,99
6977,80
6977,53
6977,37
11523,35
11523,10749
11523,18
16577,16
16577,28
16577,10751
16577,878
21373,18
21373,53
4614,53
4614,28
4614,18
9785,14
9785,53
9785,9648
154400,18
154400,80
674062,
8619,12
8619,18
8619,10752
9767,10749
9767,35
49872,35
49872,10751
49872,14
15258,35
15258,99
215924,35
215924,18
212769,10402
41183,18
1225377,27
1225377,53
649394,36
649394,18
56378,35
925714,53
925714,18
75761,27
75761,35
500682,80
500682,18
500682,53
58520,16
58520,35
58520,10402
58520,878
58520,27
19126,80
19126,18
616464,18
616464,10751
513789,99
522518,10751
522518,12
522518,18
73700,18
73700,10402
442943,99
842859,16
842859,18
842859,36
93260,99
93260,10752
258099,35
258099,18
258099,10749
1176932,10751
1176932,12
1176932,14
1229933,99
1229933,10402
256240,35
423435,99
18538,35
18538,18
18538,10749
18538,53
45708,35
45708,10749
91367,99
91367,10402
491283,18
491283,36
491283,10402
1001835,878
1001835,9648
1001835,53
398818,10749
398818,18
449948,99
438807,878
438807,53
1584,35
1584,10402
7483,18
55347,18
55347,10749
55347,35
2084,35
2084,80
2084,53
55018,27
55018,53
82650,35
82650,10751
424783,28
424783,12
424783,878
363,18
363,10749
324283,35
324283,18
38321,28
38321,14
38321,27
38321,53
1400381,99
1400381,10402
41616,28
41616,12
41616,18
41616,9648
41616,53
3472,80
3472,18
3472,53
96088,99
823609,16
823609,10751
823609,35
559,28
559,12
559,878
10148,18
10148,35
87943,99
87943,80
493089,99
433829,12
433829,878
373569,28
373569,35
420821,16
420821,10751
420821,35
420821,12
420821,9648
30246,80
30246,18
30246,53
9260,35
9260,80
434370,18
77883,27
77883,53
10758,18
10758,35
10758,10749
81583,99
8998,35
8998,18
8998,10749
337,18
38874,35
330470,99
1004657,18
1004657,36
1004657,10749
19319,35
1097311,53
1097311,18
15422,27
15422,53
13673,35
13673,10751
484247,53
484247,80
484247,35
484247,9648
621754,99
460216,35
67395,28
67395,53
84175,18
84175,14
15268,28
15268,12
44048,28
44048,53
607822,80
607822,18
1242434,80
1242434,53
1242434,18
54083,18
50620,12
50620,14
50620,18
50620,10749
667154,27
667154,35
667154,10402
1356670,18
423333,18
35935,99
495199,18
495199,10749
416954,9648
583903,18
583903,10749
121642,18
121642,10749
121642,10752
103620,27
103620,53
500859,99
40720,53
40720,18
40720,28
40720,80
1180879,27
1180879,53
15070,28
15070,18
15070,80
25864,35
25864,28
827931,27
827931,878
827931,53
81543,99
80920,27
80920,53
567598,35
567598,18
133805,18
133805,27
21525,10402
21525,99
1315655,18
1315655,36
537792,35
537792,18
157845,80
157845,18
241848,9648
241848,53
241848,28
31093,35
31093,18
734442,9648
734442,80
762361,35
762361,18
762361,80
41281,18
41281,10751
47218,35
47218,18
47218,10749
98545,35
98545,18
98545,10749
260176,18
10943,27
10943,53
286247,
744276,10749
744276,18
10590,28
10590,36
10590,10752
623270,10402
9889,35
9889,10749
126797,35
126797,18
49633,18
49633,36
470,18
470,80
470,53
55479,18
74726,27
74726,35
8841,18
928358,18
39013,18
39013,9648
591538,18
591538,10752
821427,18
376233,99
8848,53
8848,80
8848,18
19913,35
19913,18
19913,10749
59962,28
59962,35
59962,10749
856369,99
856369,36
964960,10749
964960,18
198215,99
198215,80
198215,53
198215,36
6615,35
6615,18
6615,10749
128237,18
433014,99
84290,18
84290,10749
16240,35
16240,18
38684,18
38684,10749
449443,28
449443,80
449443,53
50348,80
50348,18
50348,53
134371,18
134371,878
134371,9648
292044,18
127373,18
772438,18
16311,28
16311,35
16311,80
1122099,35
1122099,18
1122099,10402
27765,18
591273,27
591273,9648
399031,18
27007,99
1047223,14
1047223,27
1047223,18
10111,35
10111,10749
835975,18
835975,10749
835975,80
20308,18
283995,878
283995,12
283995,28
54702,80
54702,27
54702,53
11115,35
11115,18
588787,18
588787,10749
75900,18
75900,10749
290223,35
537116,18
537116,10402
431714,10402
431714,99
8349,28
8349,12
8349,18
8349,36
8349,10752
710356,10749
710356,18
682075,10751
682075,878
1157027,18
2749,28
2749,80
2749,53
391628,99
1307118,878
1307118,53
18602,18
158997,99
81005,14
81005,28
81005,12
81005,18
69324,18
69324,10749
31111,18
446101,53
446101,27
446101,35
696109,99
720755,35
720755,18
720755,9648
672,12
672,14
818,35
818,80
818,878
364680,18
396777,18
396777,53
621013,18
621013,10749
10491,9648
10491,18
10491,53
10491,10749
10491,10752
449562,35
449562,80
13243,35
13243,18
13243,10749
18032,12
18032,14
18032,10749
1611,18
1611,35
86825,18
86825,27
86825,53
275601,35
275601,18
275601,10402
206046,35
1109255,18
724163,18
881366,18
881366,10402
516977,18
516977,35
288285,18
64447,35
64447,27
64447,10749
1931,18
1931,10402
19959,878
19959,28
19959,53
1082543,18
1082543,10749
1422120,18
1422120,35
1422120,27
716612,18
716612,36
38344,18
82675,28
82675,80
82675,53
339258,18
345940,28
345940,878
345940,27
653668,18
550988,35
550988,12
550988,878
750459,18
750459,10402
750459,10749
1824,35
1824,10749
371447,18
371447,10749
38280,35
38280,18
12253,28
12253,18
680593,27
151727,99
84954,18
1635,28
1635,53
1635,878
1635,12
228331,18
37920,18
37920,10751
14202,10749
14202,18
7870,18
7870,10749
7870,53
7870,37
74461,12
74461,14
74461,27
74461,35
627725,18
67985,99
152737,35
152737,18
1004683,99
964980,18
964980,36
157099,18
157099,35
8880,18
8880,36
8880,10752
44833,53
44833,28
44833,12
44833,878
409502,18
1093793,27
114150,35
114150,10402
114150,10749
42888,35
42888,18
42888,10749
85312,99
39957,18
39957,27
39957,53
1182047,36
1182047,18
986674,18
986674,35
565726,99
121691,27
121691,28
121691,53
121691,99
263109,10751
263109,16
263109,35
263109,12
1122573,28
1122573,53
1286663,27
94478,10402
94478,10749
94478,35
82525,80
82525,18
82525,53
1239655,35
1172291,99
185837,99
937746,12
937746,18
653851,10752
653851,18
653851,28
44826,12
44826,18
44826,10751
59490,99
912480,53
912480,80
423710,99
72358,18
72358,35
72358,14
1226406,28
1226406,35
1226406,10749
317925,35
1653,18
1011477,28
1011477,12
1011477,18
28510,12
28510,28
28510,878
28510,53
459116,99
884573,99
2989,12
2989,35
2989,27
2989,53
15922,18
15922,10751
339984,10751
339984,18
75300,18
75300,10402
958186,18
958186,35
158675,36
158675,10402
135595,18
135595,53
39401,18
39401,10751
1013776,99
11918,35
11918,28
11918,878
24469,18
10955,80
10955,53
79316,27
24450,35
955695,99
253944,35
35619,18
256274,27
256274,53
12308,35
12308,18
12308,10749
315839,10752
315839,99
315839,12
315839,36
53457,18
53457,10752
212063,99
502194,99
266619,99
50321,12
50321,16
50321,10751
578189,28
578189,80
578189,18
578189,53
44982,18
44982,53
41999,99
157360,35
277834,12
277834,35
277834,10751
277834,16
403431,35
403431,18
26507,99
335988,28
335988,12
335988,878
367966,99
1242357,35
603204,18
603204,10749
603204,53
676727,16
676727,18
676727,10751
676727,36
13260,35
1010756,27
1010756,53
378379,99
378379,36
913854,99
467909,18
467909,10749
65057,35
65057,18
27573,28
27573,35
27573,10749
9555,12
9555,18
9555,36
131631,878
131631,12
131631,53
105972,99
1183500,18
507256,10402
507256,99
383354,18
173897,28
173897,27
173897,878
630016,37
630016,18
24060,80
24060,99
43493,18
43493,10749
43493,53
91550,53
91550,80
91550,18
91550,28
91550,35
280668,10402
280668,99
12228,99
931285,28
931285,14
931285,12
2267,18
2267,878
2267,12
38879,99
16433,35
16433,18
16433,12
426563,35
426563,9648
