id_themoviedb,id_genre,media_type
4046,18,série
4046,10759,série
4046,80,série
21220,18,série
21220,35,série
21220,9648,série
21220,80,série
21220,10751,série
594,18,série
2407,10759,série
2407,18,série
89,35,série
89,18,série
5398,10759,série
5398,10765,série
3200,35,série
2,16,série
2,35,série
2004,35,série
2985,10759,série
2985,18,série
2985,10765,série
37864,99,série
37864,10751,série
37864,10764,série
2568,16,série
2568,35,série
12066,10759,série
12066,10765,série
3609,18,série
4735,35,série
4735,10765,série
4735,18,série
4162,10759,série
4162,35,série
4162,10765,série
3511,35,série
3511,16,série
10466,35,série
10466,18,série
8379,16,série
8379,10762,série
354,35,série
354,10765,série
869,35,série
1760,10751,série
1760,16,série
1760,35,série
1760,10762,série
79,10759,série
79,16,série
79,10751,série
79,10762,série
4630,16,série
4630,35,série
4630,10765,série
4630,10762,série
3793,16,série
3793,10765,série
3793,35,série
3793,10762,série
2719,35,série
3288,16,série
3288,35,série
3288,10762,série
4586,35,série
4586,18,série
2215,18,série
2215,35,série
14658,10764,série
4417,35,série
4417,10767,série
5080,10766,série
5080,18,série
11191,16,série
11191,35,série
11191,10751,série
14651,35,série
5715,35,série
5715,18,série
2581,10759,série
2581,18,série
2581,35,série
314,10765,série
314,10759,série
314,18,série
262657,16,série
262657,35,série
11415,35,série
127,18,série
1431,80,série
1431,18,série
1431,9648,série
396,18,série
1926,18,série
1926,35,série
11101,18,série
11101,35,série
2398,18,série
2398,35,série
2027,10765,série
2027,18,série
4531,10765,série
4531,18,série
4531,9648,série
4599,35,série
1487,10759,série
1487,16,série
1487,10765,série
1487,10762,série
668,10762,série
668,16,série
668,10765,série
668,10759,série
668,18,série
1274,18,série
2805,18,série
31684,10759,série
31684,10765,série
31684,10751,série
10160,10764,série
4544,18,série
4731,10751,série
4731,35,série
11366,10764,série
643,35,série
240,10759,série
240,16,série
240,35,série
240,10765,série
4860,80,série
4860,9648,série
4860,18,série
3744,10762,série
3744,16,série
3744,10765,série
3744,10751,série
3744,35,série
19077,18,série
1477,16,série
1477,35,série
1477,10762,série
4508,10759,série
4508,16,série
4508,10762,série
4508,10765,série
11693,10759,série
11693,10765,série
903,35,série
2902,18,série
4546,35,série
1052,18,série
1795,35,série
555,35,série
6177,10765,série
6177,35,série
6177,10759,série
15127,10764,série
10615,10764,série
10615,18,série
7404,10764,série
2467,16,série
2467,10762,série
2467,35,série
2467,10765,série
1772,35,série
65,18,série
65,35,série
3948,35,série
4575,35,série
4575,10762,série
4575,10751,série
2331,35,série
2692,35,série
2692,10751,série
2692,18,série
10190,10765,série
10190,9648,série
10190,18,série
10190,35,série
1618,10759,série
1618,16,série
1618,10765,série
4601,18,série
3085,16,série
3085,10762,série
3085,35,série
7639,,série
3842,18,série
3842,35,série
320,10764,série
2723,10765,série
2723,10759,série
2723,16,série
248,35,série
248,10751,série
598,35,série
2345,16,série
2345,10759,série
2345,35,série
2345,10762,série
38848,10751,série
38848,18,série
334,16,série
334,35,série
45956,10764,série
