id_themoviedb,id_genre,media_type
292934,35,filme
536437,9648,filme
536437,878,filme
536437,53,filme
536437,28,filme
536437,18,filme
118,12,filme
118,35,filme
118,10751,filme
118,14,filme
271164,10402,filme
271164,10749,filme
271164,18,filme
831395,14,filme
831395,18,filme
199656,35,filme
1309962,35,filme
89280,18,filme
1219555,35,filme
1219555,18,filme
1219555,10749,filme
1255795,53,filme
1255795,10752,filme
1255795,80,filme
395817,80,filme
395817,53,filme
395817,37,filme
425751,18,filme
796499,28,filme
796499,80,filme
796499,35,filme
264644,18,filme
264644,53,filme
355065,36,filme
355065,18,filme
355065,9648,filme
244509,18,filme
244509,53,filme
143144,80,filme
143144,18,filme
143144,9648,filme
44900,10751,filme
44900,35,filme
14043,10751,filme
14043,12,filme
14043,80,filme
14043,9648,filme
14043,35,filme
8461,53,filme
8461,27,filme
1125311,27,filme
1125311,9648,filme
246403,35,filme
246403,27,filme
384682,35,filme
1002155,36,filme
1002155,10402,filme
826680,18,filme
826680,10751,filme
826680,12,filme
138843,27,filme
138843,53,filme
697407,35,filme
434166,35,filme
434166,18,filme
434166,10752,filme
10191,14,filme
10191,12,filme
10191,16,filme
10191,10751,filme
535544,18,filme
535544,10749,filme
535544,36,filme
240072,10402,filme
240072,18,filme
240072,10751,filme
112454,27,filme
112454,53,filme
9992,12,filme
9992,14,filme
9992,16,filme
9992,10751,filme
37414,80,filme
37414,18,filme
37414,53,filme
37834,28,filme
37834,35,filme
362478,18,filme
362478,80,filme
15926,28,filme
15926,35,filme
575446,18,filme
575446,53,filme
64831,99,filme
64831,10402,filme
446107,99,filme
446107,12,filme
1323577,53,filme
166085,35,filme
173210,99,filme
36965,27,filme
49219,18,filme
49219,36,filme
12634,35,filme
12634,80,filme
889737,18,filme
889737,80,filme
889737,53,filme
1018754,35,filme
1018754,18,filme
1018754,10749,filme
301365,27,filme
301365,53,filme
706510,35,filme
706510,10749,filme
845769,99,filme
844185,35,filme
844185,36,filme
844185,10770,filme
14778,35,filme
14778,18,filme
125034,99,filme
47275,18,filme
47275,10751,filme
446171,14,filme
446171,35,filme
53905,18,filme
53905,10749,filme
53905,35,filme
1400514,53,filme
1400514,18,filme
453395,14,filme
