id,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
1233620,tt34723784,O Vencedor Leva o Bolo,"¡Qué Huevos, Sofía!","Sofía pede demissão após confrontar o machismo de seu chefe. Decidida, ela cria sua própria empresa para competir diretamente com o antigo patrão, dando início a uma batalha estilo Davi contra Golias no mundo dos negócios.",2025-02-27,es,movie,https://image.tmdb.org/t/p/w500/wD9ud2xfpWBrRfi8NmkaPtoXVTW.jpg,4.8843,8.371,35,False
61539,tt1151923,Rabia,Rabia,,2009-08-12,es,movie,https://image.tmdb.org/t/p/w500/u6kcdyG06mbvWgH3LC3dVmqlyBo.jpg,2.5383,5.6,22,False
46959,tt0096741,Fim de Jogo,36.15 code Père Noël,"Thomas, acredita em Papai Noel e tem duas paixões:  A informática e super-heróis. Para o desespero de sua mãe, transformou a casa num campo de jogo com Câmeras de vídeo, trancas, redes e esconderijos secretos.",1990-01-17,fr,movie,https://image.tmdb.org/t/p/w500/fHvx1GjZGRpgte8CK6Ln7FBYy5I.jpg,1.75,5.956,103,False
1178381,tt29629778,Omar and Cedric: If This Ever Gets Weird,Omar and Cedric: If This Ever Gets Weird,,2024-11-20,en,movie,https://image.tmdb.org/t/p/w500/oyG7FisPztIMEtzlZwbyYhIXDN0.jpg,0.1493,7.0,1,False
10027,tt0342258,Cão de Briga,Unleashed,"Desde que Bart tirou Danny da rua, com a idade de 4 anos, sempre o tratou como um cão, treinando-o literalmente para o ataque. Danny é hoje sua grande arma, capaz de se atirar sobre qualquer um com uma simples ordem. Isolado do mundo, Danny não tem outra escolha a não ser aceitar essa existência de animal. Mas as coisas mudam quando ele conhece Sam, um cego que ganha a vida como afinador de pianos. Sam faz Danny descobrir um lado humano que até então lhe era desconhecido.",2005-02-02,en,movie,https://image.tmdb.org/t/p/w500/l0yMxpDDqs1WdDfMrG3ZZK34UTi.jpg,4.3082,6.939,2068,False
33974,tt1038043,Corações em Conflito,Mammoth,"Leo e Ellen são um casal bem-sucedido que vive em Nova York. Leo é o criador de um site de grande sucesso e viu-se de repente imerso em um mundo de muito dinheiro e grandes decisões. Ellen é uma dedicada cirurgiã médica que atravessa seus longos turnos salvando vidas. Jackie, a filha de oito anos do casal, passa a maior parte do tempo com sua babá filipina, Gloria – uma situação que está fazendo Ellen repensar suas prioridades de vida. Quando Leo viaja para a Tailândia a negócios, ele desencadeia sem querer uma série de eventos que vão ter consequências dramáticas para todos.",2009-01-19,en,movie,https://image.tmdb.org/t/p/w500/oHEO8xNYuDfm6llHV1lhzfF9qNN.jpg,0.8286,6.2,112,False
180856,tt2004271,King's Faith,King's Faith,,2013-04-26,en,movie,https://image.tmdb.org/t/p/w500/bYXZEWBVbh0rs1ZOUFqNMsrbzhl.jpg,0.5218,6.9,19,False
62838,tt1598822,Noite de Ano Novo,New Year's Eve,"O filme se passa na véspera do ano novo, New Year's Eve vai acompanhar alguns dos personagens durante a véspera de Ano Novo. Uma comédia romântica que vai emocionar todo mundo. Conta a história da vida de vários casais e solteiros em Nova York se entrelaçam ao longo da véspera de Ano Novo.",2011-12-08,en,movie,https://image.tmdb.org/t/p/w500/wvJ8wZNLYPw7G00qFQw5rb5Yqdx.jpg,2.2174,5.9,2168,False
554590,tt7549776,Tod@s Caen,Tod@s Caen,,2019-08-30,es,movie,https://image.tmdb.org/t/p/w500/ztL8FMzGSNGfptVkfA0LCrqZNsO.jpg,4.6681,7.814,479,False
64635,tt1386703,O Vingador do Futuro,Total Recall,"Doug Quaid (Colin Farrell) leva uma vida pacata. Ele mora na Colônia, trabalha em uma fábrica na Bretanha Unida e é casado com a bela Lori (Kate Beckinsale). Um dia, resolve visitar a Rekall, uma empresa que oferece aos clientes a inserção de memórias no cérebro, simulando viagens que não aconteceram de verdade. Doug se submete ao tratamento, mas durante a inserção algo dá errado e ele logo se vê cercado por policiais, os quais mata sem dó nem piedade. Sem saber o que está acontecendo, Doug foge para casa. Lá descobre que Lori também está contra ele e deseja matá-lo. Após escapar da esposa, Doug começa a decifrar o enigma: No passado ele foi um importante agente do chanceler Cohaagen (Bryan Cranston), com ligações entre os rebeldes que desejam a liberdade da Colônia.",2012-08-02,en,movie,https://image.tmdb.org/t/p/w500/vvRBiIvw4mWN6AVtwxZe4bswHWt.jpg,7.8375,6.024,5630,False
554739,tt9109306,O Desejo Final,The Final Wish,"Aaron é um advogado que retorna à sua casa após a morte do pai, para ajudar sua devastada mãe e confrontar os demônios de seu passado. Ao mexer nos pertences do falecido, Aaron encontra uma urna que é mais do que parece ser. Quando seus desejos e pedidos começam a virar realidade, Aaron imagina que suas preces estão sendo ouvidas, mas logo percebe que terá que pagar um preço alto por elas.",2019-01-24,en,movie,https://image.tmdb.org/t/p/w500/mp2QTfbfLqydptBf5E2tmHYXosb.jpg,3.5661,5.0,156,False
141996,tt0342916,Feras do Asfalto,Streets of Legend,"Califórnia. A madrugada das ruas desertas é o lugar ideal para um grupo de arrojados pilotos amadores fazer dos rachas ilegais a própria razão de viver. Sem medo, nem lei, eles rasgam as avenidas de Los Angeles a mais de 200 quilômetros por hora. É neste cenário de altas doses de adrenalina que o som ensurdecedor dos motores e o cheiro de borracha queimada se transformam em verdadeiros afrodisíacos para Quattro e Noza, dois jovens apaixonados que têm muito pouco a perder. E que não se importam em arriscar suas vidas por aquilo que eles amam acima de tudo: a velocidade!",2005-11-23,en,movie,https://image.tmdb.org/t/p/w500/tOKTGKNhGtxh0VQ3kdc43EAGFYs.jpg,0.601,4.6,7,False
75033,tt1551641,Winnie Mandela,Winnie Mandela,,2011-09-16,en,movie,https://image.tmdb.org/t/p/w500/42VAbyctqy6VmwlHjQB73E2pnFB.jpg,0.2195,5.8,18,False
87502,tt1907668,O Voo,Flight,"O motor de um avião dá problema, e o piloto Whisp Whitaker consegue salvar a aeronave e seus passageiros, tornando-se um herói. Mas a Administração Federal de Aviação investiga o episódio e encontra evidências de abuso de álcool e drogas após um exame de sangue. O problema é posto de lado para tentar preservar a imagem do comandante, que está determinado a mudar o rumo de sua vida.",2012-11-02,en,movie,https://image.tmdb.org/t/p/w500/gNQK6x33JgZzNXFfkdb0FplQszO.jpg,7.3984,6.849,6194,False
758679,tt13397574,Instinto Materno,Mothers' Instinct,"As donas de casa Alice e Celine são melhores amigas e vizinhas que parecem ter tudo. No entanto, quando um trágico acidente destrói a harmonia de suas vidas, a culpa, a suspeita e a paranoia começam a desfazer seu vínculo.",2024-01-11,en,movie,https://image.tmdb.org/t/p/w500/5ft87E9fosb9O9zLtdR9Cu5tiCa.jpg,2.698,6.928,524,False
593427,tt6862538,Rosa Amarela,Yellow Rose,"Uma jovem filipina mora numa pequena cidade do Texas e almeja seguir uma carreira como cantora country. Porém, seus sonhos são interrompidos, quando a mãe é presa pela imigração e ela precisa fugir para não ser deportada também.",2020-10-09,en,movie,https://image.tmdb.org/t/p/w500/9LCmW7y8796PDKjMFEi8snYFIWQ.jpg,0.398,6.9,19,False
14034,tt0161083,O Que Mais Pode Acontecer?,What's the Worst That Could Happen?,"Kevin Caffery é um ladrão profissional que invadiu a mansão de Max Fairbanks, um bilionário. O lugar era para estar supostamente desocupado, mas Max, que é casado, foi para a mansão com uma amiga, Miss Setembro, e esperava ter uma noite perfeita,. Entretanto ele ouve um barulho e pega Kevin com a mão na massa, chamando então a polícia. Tudo poderia terminar naquela hora, mas repentinamente Max tem a idéia de roubar o ladrão e afirma para os policiais que o anel que Caffery está usando é dele. Kevin protesta, pois é um anel de estimação que foi dado por Amber Belhaven, sua namorada, mas os policiais não acreditam e Max retira o anel do dedo de Kevin e coloca no seu. Inconformado, Kevin é levado preso, mas no caminho foge. Deste instante em diante Kevin, ajudado por seus amigos, faz tudo para prejudicar o magnata, que se recusa em devolver o anel. Surge entre eles uma batalha de egos, que pode afetar Max com um escândalo público, ruína financeira, divórcio e processos criminais.",2001-05-31,en,movie,https://image.tmdb.org/t/p/w500/qGspgm433lXQtKRIa5hbpYNFCt6.jpg,2.7094,5.433,308,False
19166,tt0395585,Aprisionados,House of 9,"Nove estranhos, sem quaisquer ligações entre si, são violentamente drogados, raptados e trancafiados numa casa à prova de fuga. As portas estão seladas e as janelas, bloqueadas com tijolos. Todos farão parte de um sórdido jogo mortal em que apenas um participante sobreviverá. Quer eles queiram, quer não... Prepare-se para fazer parte do mais inacreditável ritual de crueldade e morte jamais visto. Os participantes são o policial Jay, o padre Duffy, o compositor fracassado Francis, sua esposa Cynthia, a jovem perturbada Shona, a tenista decadente Claire, o figurinista gay Max, o aspirante a rapper Al-B e a dançarina Lea. Oito deles deverão morrer. O que você faria?",2005-06-19,en,movie,https://image.tmdb.org/t/p/w500/im9LNggsbL2IIbLGtu1pfOXJ6tc.jpg,1.3998,5.006,233,False
24985,tt0301390,The Heart of Me,The Heart of Me,,2004-02-10,en,movie,https://image.tmdb.org/t/p/w500/cseB13FRrXz1sxeEtPX4u4qlDga.jpg,1.5484,6.292,24,False
464502,tt6063050,Acrimônia,Acrimony,"Melinda (Taraji P. Henson) sempre foi uma esposa fiel, porém, cansada de ficar ao lado de seu marido preguiçoso, Robert (Lyriq Bent), se divorcia quando ele faz com que ela perca a casa de sua família. Meses depois, Melinda descobre que seu ex-marido ficou rico e está noivo de outra mulher. Sentindo que ele deve a ela todo o tempo e dinheiro que ela investiu quando estavam juntos, ela perde o controle e vai atrás de vingança.",2018-03-30,en,movie,https://image.tmdb.org/t/p/w500/jsY1jFetFR5YgHfbejIAiRx65uT.jpg,1.6329,6.742,387,False
1020414,tt21955520,Peter Pan: Pesadelo na Terra do Nunca,Peter Pan's Neverland Nightmare,A clássica história infantil ganha uma versão sombria. Wendy tenta salvar seu irmão Michael das garras de um Peter Pan aterrorizante — uma figura que nem nas piores pesadelos de uma criança poderia ser imaginada.,2025-01-13,en,movie,https://image.tmdb.org/t/p/w500/5p0wQ24CWJ4rBxcJtBNs0uc4ech.jpg,5.7095,5.964,152,False
414018,tt5881528,Sob o Sol do Oeste,Damsel,"Samuel Alabaster faz uma jornada no velho oeste selvagem até a fronteira americana para se casar com o amor da sua vida, Penélope. Ao lado do bêbado Parson Henry e do bastardo Rufus Cornell, sua simples viagem fica cada dia mais perigosa e as distinções entre heróis, donzelas e vilões logo se confundem.",2018-06-22,en,movie,https://image.tmdb.org/t/p/w500/aSA7maO0olKMY16hwTiG6PCKOXq.jpg,1.0235,5.3,152,False
490758,tt7520286,Bisbee '17,Bisbee '17,,2018-09-05,en,movie,https://image.tmdb.org/t/p/w500/u2mtK0C7dIlzigxyNZGxw3z3AKF.jpg,0.9222,6.941,17,False
943134,tt16606592,Criaturas Incríveis,Le Règne animal,"Num mundo atingido por uma onda de mutações que transformam humanos em animais, François faz tudo o que pode para salvar a sua esposa.  À medida que algumas das criaturas desaparecem numa floresta próxima, ele e o seu filho Émile embarcam numa missão que mudará as suas vidas para sempre.",2023-10-04,fr,movie,https://image.tmdb.org/t/p/w500/bDH0XmxKYXcEMYeydGowhha6jvy.jpg,2.6679,6.997,837,False
629704,tt9355194,The Booksellers,The Booksellers,,2020-03-06,en,movie,https://image.tmdb.org/t/p/w500/qGi8ZCxoy0z7yO4ByT5hAksmErK.jpg,0.2518,6.9,31,False
49014,tt1480656,Cosmópolis,Cosmopolis,"Ao longo de um único dia catastrófico, um gestor de ativos bilionário de 28 anos atravessa a cidade de Nova Iorque na sua limusine para cortar o cabelo. Durante a viagem de carro, os encontros íntimos, o engarrafamento e a morte de uma estrela de rap perturbam a sua realidade.",2012-05-25,en,movie,https://image.tmdb.org/t/p/w500/nWCaRAY5ihCBZQHRXh6yTnplWYB.jpg,1.1909,5.689,1291,False
823482,tt21942866,O Homem dos Sonhos,Dream Scenario,"O infeliz homem de família Paul Matthews vê sua vida virada de cabeça para baixo quando milhões de estranhos de repente começam a vê-lo em seus sonhos.  Mas quando suas aparições noturnas tomam um rumo de pesadelo, Paul é forçado a navegar em seu novo estrelato.",2023-11-10,en,movie,https://image.tmdb.org/t/p/w500/pI6bCgmnvodCSUNfYMDg4QWiJmK.jpg,3.9386,6.655,1102,False
8355,tt1080016,A Era do Gelo 3,Ice Age: Dawn of the Dinosaurs,"Depois que Sid rouba alguns ovos de dinossauro, Manny, Diego e o resto de seus amigos pré-históricos entram em um mundo misterioso e subterrâneo para resgatar Sid. Durante o curso da sua missão, o grupo encontra muitas criaturas grandes e pequenas, incluindo os carnívoros famintos e implacáveis, caçando o dinossauro chamado Buck.",2009-06-26,en,movie,https://image.tmdb.org/t/p/w500/8TmTkDpCTBzWvH7iX6gRqlElMeu.jpg,9.2497,6.761,8578,False
