id_themoviedb,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
4046,tt0160904,Spooks,Spooks,,2002-05-13,en,tv,https://image.tmdb.org/t/p/w500/5kODxCYihuM49oQWke6GfHdsRT6.jpg,14.8463,7.7,135,False
21220,tt0178132,Don Matteo,Don Matteo,Don Matteo é um padre católico completamente comum com uma habilidade extraordinária para ler as pessoas e resolver crimes. Ele é um pároco que nunca conheceu uma pessoa injustamente acusada que ele não queria ajudar.,2000-01-07,it,tv,https://image.tmdb.org/t/p/w500/5fYNPrAAG6CC4vBDxHkHoVCf9ga.jpg,7.8446,6.288,66,False
594,tt0199421,Higher Ground,Higher Ground,,2000-01-14,en,tv,https://image.tmdb.org/t/p/w500/6sDziyxR3RDirGVVrGP1nSXxbtE.jpg,3.5911,8.1,13,False
2407,tt0204993,Gangues da Noite,Dark Angel,"A história se passa na cidade de Seattle, em pleno século XXI, durante uma grave recessão na economia americana, causada por um ataque terrorista onde Max Guevara, um ser humano modificado geneticamente em laboratório, é perseguida pelos Estados Unidos após escapar de uma base militar. Logan Cale, um jornalista que luta contra a corrupção e o governo, ajuda Max em sua fuga em troca de serviços, mas com o passar do tempo, eles acabam se apaixonando. Porém, encontram muitas dificuldades para conseguir manter esse relacionamento complexo em paralelo com suas buscas pessoais, já que enquanto Logan quer combater as injustiças da sociedade, Max tenta achar seus 'irmãos' e se manter longe de Manticore, instituição secreta do governo dos E.U.A. que a criou junto com os outros transgênicos com o intuito de conceber o soldado perfeito.",2000-10-03,en,tv,https://image.tmdb.org/t/p/w500/j67SlN7bsDokENZLjrrbP5AKZFg.jpg,7.566,7.537,467,False
89,tt0205700,Titus,Titus,,2000-03-20,en,tv,https://image.tmdb.org/t/p/w500/Ab7WWSBFSYbZVXORydeEaPltG9K.jpg,2.6524,6.988,43,False
5398,tt0206476,Cleopatra 2525,Cleopatra 2525,,2000-01-17,en,tv,https://image.tmdb.org/t/p/w500/atqiqIMfXzHpSmSlSjHwOW0E2Fm.jpg,1.2944,6.1,26,False
3200,tt0206511,Mano a Mana,Even Stevens,"Louis, um aluno desajeitado do sétimo ano, luta para se encaixar na escola e em sua família, aparentemente, perfeita. Ele provoca sua irmã mais velha, Ren, e frequentemente está envolvido em aventuras desastrosas, das quais seu melhor amigo, Alan, geralmente o salva.",2000-06-17,en,tv,https://image.tmdb.org/t/p/w500/28MeQeHD7JGZnC4zqQrTXFQrzME.jpg,3.5205,7.0,77,False
2,tt0210413,Clerks,Clerks,,2000-05-31,en,tv,https://image.tmdb.org/t/p/w500/xunXvzFlkf1GGgMkCySA9CCFumB.jpg,3.1009,7.1,111,False
2004,tt0212671,Malcolm,Malcolm in the Middle,"Malcolm é um garoto gênio precisa lidar com seus três irmãos, bem como com seus pais excêntricos.",2000-01-09,en,tv,https://image.tmdb.org/t/p/w500/rdxW4Lszm6qYB3qd2cexB8U8laW.jpg,30.8691,8.472,4597,False
2985,tt0213327,Andrômeda,Andromeda,"Depois que uma guerra deixa o universo em ruínas, o capitão do Andromeda Ascendant, Dylan Hunt, e seus tripulantes se esforçam para restaurar o governo que foi responsável por uma longa época de paz e prosperidade.",2000-10-02,en,tv,https://image.tmdb.org/t/p/w500/uAOyxeDiNwYU8GuOebU0FExh49C.jpg,8.9398,7.123,272,False
37864,tt0218787,Acredite se Quiser,Ripley's Believe It or Not!,Histórias estranhas e pessoas com talentos raros são destacados nesta série.,2000-01-12,en,tv,https://image.tmdb.org/t/p/w500/hp1a0UJTEy6Yy6e6CCXudXgSV59.jpg,0.9513,5.077,13,False
2568,tt0219446,Os Oblongs,The Oblongs,"Os Oblongs retrata as aventuras e desventuras de uma família que vive perto de um pântano poluído em Hill Valley. A poluição desse pântano é causada pelos dejetos de uma fábrica que fica no alto da colina. A dona dessa fábrica é a outra família retratada no desenho. As ironias nascidas desses dois pólos opostos são as principais tiradas do desenho. Ricos e pobres, belos e feios, patrões e empregados, perfeitos e deformados etc... O desenho é basicamente uma ironia a sociedade atual, com muitas tiradas de humor.",2001-04-01,en,tv,https://image.tmdb.org/t/p/w500/zHgUbiQnYhU7F4GSPv2yBU8GrRo.jpg,1.5186,7.3,65,False
12066,tt0220008,Robocop: Primeiras Diretrizes,Robocop: Prime Directives,"Delta City, considerado o 'Lugar Mais Seguro do Planeta' tornou-se uma cidade futurista de propriedade e operada pela OCP. RoboCop (Alex Murphy) começou a sentir o peso de sua idade. Murphy se vê quase obsoleto e deve lidar com o fato de que seu filho James Murphy é um executivo da OCP (sem saber que seu pai ainda está vivo). Além disso, o ex-sócio de Murphy, John Cable, voltou para a Delta City como seu novo Comandante de Segurança. Mas lentamente surgem novos inimigos e Murphy e Cable começam uma investigação sobre um misterioso vilão conhecido como Bone Machine, sem saber que eles estão chegando perigosamente perto de expor um grupo inescrupuloso de executivos da OCP conhecido como The Trust, onde James Murphy faz parte. Desesperado para impedir que seus planos sinistros sejam revelados, The Trust programa Murphy para matar John Cable.",2001-01-04,en,tv,https://image.tmdb.org/t/p/w500/yByZ5WAAzLTaCn6XoYz72r8GxBg.jpg,1.3682,5.476,21,False
3609,tt0220178,Young Americans,Young Americans,,2000-07-12,en,tv,https://image.tmdb.org/t/p/w500/566z1R102QJYVJ4t5eW0io5twia.jpg,1.7542,7.6,9,False
4735,tt0220238,O Homem Invisível,The Invisible Man,"Darien Fawkes é condenado a prisão perpétua e, a troco da sua liberdade, concorda em participar numa arriscada experiência governamental. A experiência consiste na implementação de uma glândula chamada Mercurial na base do crânio, que permite tornar-se invisível quando quer. Mas há efeitos secundários: as suas funções cerebrais são reduzidas, o que leva Darien à loucura. A única maneira de se salvar é continuar a colaborar com uma agência secreta do governo que lhe dará regularmente um anti-agente que reage contra os efeitos do implante.",2000-06-09,en,tv,https://image.tmdb.org/t/p/w500/r2xvhDRpsQ8Oq3FlihPGDsND6vg.jpg,4.518,7.0,52,False
4162,tt0220906,Jack of All Trades,Jack of All Trades,,2000-01-22,en,tv,https://image.tmdb.org/t/p/w500/cVzAKWY9qqfukr7zhTZ0cWfKt9g.jpg,3.3381,7.5,28,False
3511,tt0221751,"God, the Devil and Bob","God, the Devil and Bob",,2000-03-09,en,tv,https://image.tmdb.org/t/p/w500/uSpUzhklRGKcBgeuDdAxsOuizCs.jpg,1.3874,7.5,21,False
10466,tt0231012,At Home with the Braithwaites,At Home with the Braithwaites,,2000-01-20,en,tv,https://image.tmdb.org/t/p/w500/7faubYsTpCM9IknYC45GF71vEa3.jpg,1.4516,6.8,11,False
8379,tt0233041,"Clifford, o Cão Gigante",Clifford the Big Red Dog,"Abram alas para Clifford, o Gigante Cão Vermelho, a animação da Scholastic baseada nos livros de Norman Bridwell. Cada episódio da série indicada ao Emmy traz duas histórias com uma ou mais das & uot;GRANDES ideias do Clifford& uot;: dez lições de vida simples e práticas. Junte-se a Clifford e sua dona Emily Elizabeth enquanto eles brincam, trabalham juntos, respeitam os outros e se divertem!",2000-09-04,en,tv,https://image.tmdb.org/t/p/w500/tZLS8aT8Iqnbw8oMKIi1WHidCA1.jpg,3.449,6.6,80,False
354,tt0233084,My Hero,My Hero,,2000-02-04,en,tv,https://image.tmdb.org/t/p/w500/ultFCYTFjTudEsCrGLFr4Sugdbf.jpg,2.3811,6.5,30,False
869,tt0235137,Son of the Beach,Son of the Beach,,2000-03-14,en,tv,https://image.tmdb.org/t/p/w500/ssFB61XwVABxRZ0vcBHruqpK45Z.jpg,6.0299,6.638,29,False
1760,tt0235911,Ginger,As Told by Ginger,"O desenho animado acompanha a vida da pré-adolescente Ginger Foutley com seus amigos, enquanto tentam se encaixar na vida social na escola e evitar situações embaraçosas.",2000-10-25,en,tv,https://image.tmdb.org/t/p/w500/6Kd09yYpf2qEYusPB9rtsidMnJu.jpg,12.1268,6.634,86,False
79,tt0235917,"Dora, a Aventureira",Dora the Explorer,"Dora, a Aventureira é uma série de TV de animação educacional americana criada por Chris Gifford, Valerie Walsh e Eric Weiner. Dora the Explorer tornou-se uma série regular em 2000. O show é realizado na rede de televisão a cabo da Nickelodeon, incluindo o canal associado  Nick Jr.",2000-08-14,en,tv,https://image.tmdb.org/t/p/w500/tP2Wv3y1cBQRLiTqhMvc28d54Tb.jpg,15.0577,6.229,323,False
4630,tt0235918,Os Padrinhos Mágicos,The Fairly OddParents,"As interessantes aventuras de um menino de dez anos e seus padrinhos com poderes especiais. Juntos, o grupo provoca um caos mágico.",2001-03-30,en,tv,https://image.tmdb.org/t/p/w500/kyChA2gNT2TH76RuKAj0ysNA2Ag.jpg,20.6748,7.577,1046,False
3793,tt0235923,Invasor Zim,Invader ZIM,"O Invasor Zim é um soldado alienígena excêntrico do planeta Irk. Ele foi banido do Império Irken depois de quase destruir seu planeta natal em uma missão inicial. Depois de implorar a seus superiores, os Todo-Poderosos Altíssimos Vermelho e Roxo, por outra chance, eles decidem se livrar dele de uma vez por todas. Eles o induzem a ir em uma 'missão secreta' a um planeta obscuro na extremidade do universo, um planeta com o nome improvável de Terra, na esperança de que ele morra ao longo do caminho. Mas o truque deles sai pela culatra quando Zim chega em segurança à Terra e começa sua conquista sempre tão sutil. Ele se disfarça de estudante, e agora a única pessoa que pode detê-lo é um garoto - Dib, um pesquisador paranormal um tanto insano, que vê diretamente o disfarce de Zim e tem a intenção de interromper seu reinado de 'terror'. O único problema é que nenhum deles é muito bom em parar o outro.",2001-03-30,en,tv,https://image.tmdb.org/t/p/w500/h9T3oTwclpHP13BeutA7wQjEC4r.jpg,3.1466,8.5,427,False
2719,tt0237123,Coupling,Coupling,"O cotidiano de seis amigos, de mais ou menos trinta anos de idade, tentando se manter dentro e fora dos seus relacionamentos amorosos.",2000-05-12,en,tv,https://image.tmdb.org/t/p/w500/sGXTdRNmpp7BUArum8AGaYMKPPi.jpg,3.9175,7.934,304,False
3288,tt0237987,A Turma do Fim de Semana,The Weekenders,Quatro amigos do sul da Califórnia vivem um fim de semana perfeito.,2000-02-26,en,tv,https://image.tmdb.org/t/p/w500/AmxEc2K4KfrPoH5VPAArJ1WdFHN.jpg,2.4395,7.966,29,False
